Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1
BOPQ.S06AC000000000A,1971.06,426,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1971.09,435,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1971.12,360,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1972.03,417,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1972.06,528,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1972.09,471,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1972.12,437,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1973.03,607,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1973.06,666,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1973.09,578,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1973.12,526,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1974.03,584,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1974.06,615,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1974.09,557,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1974.12,541,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1975.03,517,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1975.06,633,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1975.09,630,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
BOPQ.S06AC000000000A,1975.12,738,,F,Dollars,6,Balance of Payments - BOP,"BPM6 Quarterly, Balance of payments major components",Actual
